0 0
0.0204082 0.954076
0.0408163 1.98685
0.0612245 3.17602
0.0816327 4.59696
0.102041 6.32086
0.122449 8.41209
0.142857 10.9249
0.163265 13.8997
0.183673 17.3588
0.204082 21.303
0.22449 25.7085
0.244898 30.5251
0.265306 35.6762
0.285714 41.0605
0.306122 46.5554
0.326531 52.0224
0.346939 57.3132
0.367347 62.2764
0.387755 66.7653
0.408163 70.6438
0.428571 73.7928
0.44898 76.1148
0.469388 77.5376
0.489796 78.0168
0.510204 77.5376
0.530612 76.1148
0.55102 73.7928
0.571429 70.6438
0.591837 66.7653
0.612245 62.2765
0.632653 57.3132
0.653061 52.0226
0.673469 46.5558
0.693878 41.0612
0.714286 35.6775
0.734694 30.5275
0.755102 25.7128
0.77551 21.3106
0.795918 17.3719
0.816327 13.9218
0.836735 10.9616
0.857143 8.47156
0.877551 6.41513
0.897959 4.74322
0.918367 3.3981
0.938776 2.31695
0.959184 1.43437
0.979592 0.684139
1 0
